,genCQ,expertCQ,cos_score
121,What are the emerging areas of interest in empirical RE research?,"""How have the proportions of experiments, secondary research (reviews), surveys, case studies, and action research in the empirical methods used evolved over time?""",0.6214
122,How has empirical research in various RE knowledge areas evolved over the years?,"""How has the proportions of  empirical methods to conduct (systematic literature) reviews, so-called secondary research, evolved over time?""",0.6210
123,How are empirical studies shaping RE methodologies?,What are the conceptual and operational definitions used for key constructs and variables in empirical research in SE and RE?,0.6210
124,What types of tools are used in empirical RE studies?,What are the conceptual and operational definitions used for key constructs and variables in empirical research in SE and RE?,0.6208
125,What are the common themes emerging from empirical research in RE?,"""How have the proportions of experiments, secondary research (reviews), surveys, case studies, and action research in the empirical methods used evolved over time?""",0.6203
126,What gaps exist in the current body of empirical RE research?,How has the proportion of empirical studies evolved over time?,0.6202
127,What are the criteria for selecting participants in empirical RE studies?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.6194
128,What are the common data analysis techniques used in empirical RE?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.6192
129,How are empirical studies in RE adopted by industry?,How has the proportion of empirical studies evolved over time?,0.6187
130,How has empirical research in various RE knowledge areas evolved over the years?,"""How has building on previous research data and results, including from other disciplines, evolved over time?""",0.6184
131,How has empirical research in various RE knowledge areas evolved over the years?,"""How have the proportions of experiments, secondary research (reviews), surveys, case studies, and action research in the empirical methods used evolved over time?""",0.6177
132,How often are empirical RE studies replicated?,How has the proportion of papers that do not have an empirical study evolved over time?,0.6176
133,What empirical methods are used to study RE processes?,Which methods are used to synthesize evidence from data of different empirical methods?,0.6174
134,Which era of RE research has seen the most progress in terms of new advances?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.6173
135,What are the common weaknesses identified in empirical RE studies?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.6168
136,In which channels are the empirical studies of RE published?,How has the number of empirical methods used per publication evolved over time?,0.6166
137,Which research method is frequently used in primary RE studies?,Does the research design allow for efficient reuse of study (results) by other researchers?,0.6155
138,What are the common data analysis techniques used in empirical RE?,What are the conceptual and operational definitions used for key constructs and variables in empirical research in SE and RE?,0.6155
139,How frequent are the different types of empirical research methods used in RE?,What are the conceptual and operational definitions used for key constructs and variables in empirical research in SE and RE?,0.6155
140,Which RE processes are most frequently studied empirically?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.6149
141,How are data collection methods evolving in empirical RE studies?,How many different empirical methods are used per publication?,0.6147
142,In which channels are the empirical studies of RE published?,How has the proportion of empirical studies evolved over time?,0.6136
143,How accessible are empirical RE study results to practitioners?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.6133
144,What gaps exist in the current body of empirical RE research?,"""How has the proportions of  empirical methods to conduct (systematic literature) reviews, so-called secondary research, evolved over time?""",0.6127
145,How frequent are longitudinal studies in empirical RE research?,"""How has the proportions of  empirical methods to conduct (systematic literature) reviews, so-called secondary research, evolved over time?""",0.6126
146,What are the best practices for conducting empirical studies in RE?,How often are which empirical methods used?,0.6124
147,Which RE techniques are most validated by empirical studies?,How has the number of empirical methods used per publication evolved over time?,0.6113
148,What is the frequency of different research types in primary RE studies?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.6112
149,Which domains have seen significant empirical RE studies?,How has the proportion of empirical studies evolved over time?,0.6110
150,Which journals are most active in publishing empirical RE research?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.6097
151,What are the different contexts in which empirical RE research is applied?,How often are which empirical methods used?,0.6095
152,How has empirical research in various RE knowledge areas evolved over the years?,How has the proportion of papers that do not have an empirical study evolved over time?,0.6094
153,How are empirical studies in RE adopted by industry?,"""How has the proportions of  empirical methods to conduct (systematic literature) reviews, so-called secondary research, evolved over time?""",0.6089
154,Which RE processes are most frequently studied empirically?,How often are which empirical methods used?,0.6086
155,How are empirical studies shaping RE methodologies?,How many different empirical methods are used per publication?,0.6080
156,What kinds of empirical evidence are most valued in RE research?,"""How have the proportions of experiments, secondary research (reviews), surveys, case studies, and action research in the empirical methods used evolved over time?""",0.6078
157,How are data collection methods evolving in empirical RE studies?,"""How has the proportions of  empirical methods to conduct (systematic literature) reviews, so-called secondary research, evolved over time?""",0.6075
158,What are the criteria for evaluating empirical RE studies?,How has the use of (a common set of empirically derived) criteria to characterize the quality of secondary research and thus the overall strength of a body of evidence evolved over time?,0.6065
159,How frequent are longitudinal studies in empirical RE research?,How has the number of empirical methods used per publication evolved over time?,0.6061
160,What are the criteria for evaluating empirical RE studies?,What are the conceptual and operational definitions used for key constructs and variables in empirical research in SE and RE?,0.6055
161,What empirical methods are used to study RE processes?,How often are which empirical methods used over time?,0.6047
162,How frequent are the different types of empirical research methods used in RE?,"""What empirical methods are used to conduct integrative and interpretive (systematic literature) reviews, so-called secondary research?""",0.6047
163,What trends are observable in the publication channels for RE research?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.6046
164,In which channels are the empirical studies of RE published?,How many different empirical methods are used per publication?,0.6042
165,How do empirical RE studies address non-functional requirements?,What are the conceptual and operational definitions used for key constructs and variables in empirical research in SE and RE?,0.6042
166,Which RE techniques are most validated by empirical studies?,How do the authors justify the selection and combination of empirical methods and design elements?,0.6037
167,How frequent are longitudinal studies in empirical RE research?,How often are which empirical methods used?,0.6035
168,What are the emerging areas of interest in empirical RE research?,"""How has the proportions of  empirical methods to conduct (systematic literature) reviews, so-called secondary research, evolved over time?""",0.6035
169,What kinds of empirical evidence are most valued in RE research?,How has the use of (a common set of empirically derived) criteria to assess the quality of individual studies evolved over time?,0.6033
170,How are empirical studies in RE adopted by industry?,"""How have the proportions of experiments, secondary research (reviews), surveys, case studies, and action research in the empirical methods used evolved over time?""",0.6033
171,How are empirical studies shaping RE methodologies?,"""How have the proportions of experiments, secondary research (reviews), surveys, case studies, and action research in the empirical methods used evolved over time?""",0.6031
172,How do empirical RE studies address non-functional requirements?,Do the authors use conceptual and operational definitions for key constructs and variables in empirical research in SE and RE?,0.6031
173,How are empirical studies shaping RE methodologies?,How has the proportion of empirical studies evolved over time?,0.6028
174,What are the different contexts in which empirical RE research is applied?,"""How have the proportions of experiments, secondary research (reviews), surveys, case studies, and action research in the empirical methods used evolved over time?""",0.6028
175,How do empirical RE studies measure the effectiveness of RE techniques?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.6024
176,Which research method is frequently used in primary RE studies?,How often are which statistical methods used?,0.6022
177,What are the most common research questions investigated in empirical RE?,How often are which empirical methods used?,0.6022
178,What methods do empirical RE studies use to validate their findings?,How has the number of empirical methods used per publication evolved over time?,0.6018
179,What are the criteria for evaluating empirical RE studies?,"""How has the proportions of  empirical methods to conduct (systematic literature) reviews, so-called secondary research, evolved over time?""",0.6017
180,What role do experience reports play in empirical RE studies?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.6017
181,Which research method is frequently used in primary RE studies?,"""How has the proportions of  empirical methods to conduct (systematic literature) reviews, so-called secondary research, evolved over time?""",0.6015
182,What are the best practices for conducting empirical studies in RE?,Which methods are used to synthesize evidence from data of different empirical methods?,0.6010
183,What kinds of empirical evidence are most valued in RE research?,How has the proportion of empirical studies evolved over time?,0.6007
184,How rigorous is the research reported in different RE core areas?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.6007
185,How are empirical studies shaping RE methodologies?,Do the authors use conceptual and operational definitions for key constructs and variables in empirical research in SE and RE?,0.6006
186,How does the geographic distribution of RE research look over different eras?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.6006
187,How comprehensive is the current body of empirical RE literature?,How many different empirical methods are used per publication?,0.5996
188,How are empirical studies in RE adopted by industry?,How many empirical studies are by authors working for large software development companies?,0.5991
189,Which journals are most active in publishing empirical RE research?,How has the number of empirical methods used per publication evolved over time?,0.5991
190,How frequently are surveys used in empirical RE research?,How has the number of empirical methods used per publication evolved over time?,0.5989
191,Which RE processes are most frequently studied empirically?,How often are which empirical methods used over time?,0.5989
192,What are the emerging areas of interest in empirical RE research?,How have the proportions of case studies and action research in the empirical methods used evolved over time?,0.5987
193,What are the best practices for conducting empirical studies in RE?,"""What empirical methods are used to conduct integrative and interpretive (systematic literature) reviews, so-called secondary research?""",0.5984
194,What are the criteria for evaluating empirical RE studies?,Do the authors use (a common set of empirically derived) criteria to characterize the quality of secondary research and thus the overall strength of a body of evidence?,0.5978
195,What challenges are faced in conducting empirical RE studies?,What are the conceptual and operational definitions used for key constructs and variables in empirical research in SE and RE?,0.5973
196,What is the role of academia versus industry in empirical RE research?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.5969
197,What are the future research directions in empirical RE?,"""How have the proportions of experiments, secondary research (reviews), surveys, case studies, and action research in the empirical methods used evolved over time?""",0.5967
198,How comprehensive is the current body of empirical RE literature?,How often are which empirical methods used?,0.5965
199,What percentage of RE studies are empirical versus non-empirical?,"""How has the proportions of  empirical methods to conduct (systematic literature) reviews, so-called secondary research, evolved over time?""",0.5958
200,What percentage of RE studies are empirical versus non-empirical?,How has the number of empirical methods used per publication evolved over time?,0.5958
201,What are the different contexts in which empirical RE research is applied?,How have the proportions of case studies and action research in the empirical methods used evolved over time?,0.5950
202,What types of tools are used in empirical RE studies?,"""What empirical methods are used to conduct integrative and interpretive (systematic literature) reviews, so-called secondary research?""",0.5943
203,How are empirical studies in RE adopted by industry?,What are the conceptual and operational definitions used for key constructs and variables in empirical research in SE and RE?,0.5942
204,How has empirical research in various RE knowledge areas evolved over the years?,How has the reporting of research questions and answers evolved over time?,0.5941
205,How frequent are the different types of empirical research methods used in RE?,Do the authors use conceptual and operational definitions for key constructs and variables in empirical research in SE and RE?,0.5937
206,What are the future research directions in empirical RE?,What are the conceptual and operational definitions used for key constructs and variables in empirical research in SE and RE?,0.5932
207,How has the interest in different RE core areas evolved over time?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.5931
208,What are the common data analysis techniques used in empirical RE?,How has the number of empirical methods used per publication evolved over time?,0.5930
209,What kinds of empirical evidence are most valued in RE research?,How have the proportions of case studies and action research in the empirical methods used evolved over time?,0.5930
210,How has the publication rate of empirical RE research changed over the years?,How have the proportions of case studies and action research in the empirical methods used evolved over time?,0.5924
211,How has the publication rate of empirical RE research changed over the years?,"""How have the proportions of experiments, secondary research (reviews), surveys, case studies, and action research in the empirical methods used evolved over time?""",0.5922
212,What are the common themes emerging from empirical research in RE?,"""How has the proportions of  empirical methods to conduct (systematic literature) reviews, so-called secondary research, evolved over time?""",0.5919
213,What methods do empirical RE studies use to validate their findings?,How do the authors justify the selection and combination of empirical methods and design elements?,0.5910
214,What are the common themes emerging from empirical research in RE?,How has the proportion of empirical studies evolved over time?,0.5910
215,What are the best practices for conducting empirical studies in RE?,What are the conceptual and operational definitions used for key constructs and variables in empirical research in SE and RE?,0.5908
216,How do empirical RE studies measure the effectiveness of RE techniques?,How often are which empirical methods used?,0.5907
217,What are the most common research questions investigated in empirical RE?,How has the proportion of empirical studies evolved over time?,0.5901
218,What future opportunities exist for empirical research in RE?,How has the proportion of empirical studies evolved over time?,0.5899
219,What methods do empirical RE studies use to validate their findings?,How has the use of (a common set of empirically derived) criteria to characterize the quality of secondary research and thus the overall strength of a body of evidence evolved over time?,0.5895
220,What empirical methods are used to study RE processes?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.5894
221,What kinds of software systems are most frequently studied in empirical RE?,How often are which empirical methods used?,0.5894
222,How are empirical studies shaping RE methodologies?,"""What empirical methods are used to conduct integrative and interpretive (systematic literature) reviews, so-called secondary research?""",0.5893
223,What is the prevalence of qualitative versus quantitative methods in RE studies?,"""How has the proportions of  empirical methods to conduct (systematic literature) reviews, so-called secondary research, evolved over time?""",0.5892
224,What are the emerging areas of interest in empirical RE research?,How has the proportion of empirical studies evolved over time?,0.5891
225,How frequently are surveys used in empirical RE research?,"""How have the proportions of experiments, secondary research (reviews), surveys, case studies, and action research in the empirical methods used evolved over time?""",0.5890
226,What future opportunities exist for empirical research in RE?,"""How have the proportions of experiments, secondary research (reviews), surveys, case studies, and action research in the empirical methods used evolved over time?""",0.5883
227,What is the frequency of different research types in primary RE studies?,How has the use of (a common set of empirically derived) criteria to assess the quality of individual studies evolved over time?,0.5878
228,How has the focus on specific RE topics changed over the decades?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.5877
229,How accessible are empirical RE study results to practitioners?,"""How has the proportions of  empirical methods to conduct (systematic literature) reviews, so-called secondary research, evolved over time?""",0.5874
230,Which journals are most active in publishing empirical RE research?,Which digital libraries with publications from SE and RE and related disciplines do authors use for (systematic literature) reviews?,0.5871
231,How often are empirical RE studies replicated?,"""How has the proportions of  empirical methods to conduct (systematic literature) reviews, so-called secondary research, evolved over time?""",0.5870
232,What are the emerging areas of interest in empirical RE research?,What are the conceptual and operational definitions used for key constructs and variables in empirical research in SE and RE?,0.5869
233,What are the criteria for selecting participants in empirical RE studies?,How do the authors justify the selection and combination of empirical methods and design elements?,0.5866
234,How are data collection methods evolving in empirical RE studies?,"""How have the proportions of experiments, secondary research (reviews), surveys, case studies, and action research in the empirical methods used evolved over time?""",0.5865
235,What methods do empirical RE studies use to validate their findings?,How has the proportion of empirical studies evolved over time?,0.5862
236,What gaps exist in the current body of empirical RE research?,How has the number of empirical methods used per publication evolved over time?,0.5860
237,What gaps exist in the current body of empirical RE research?,"""How have the proportions of experiments, secondary research (reviews), surveys, case studies, and action research in the empirical methods used evolved over time?""",0.5853
238,What are the future research directions in empirical RE?,How often are which empirical methods used?,0.5847
239,What are the different contexts in which empirical RE research is applied?,How often are which empirical methods used over time?,0.5847
240,How are data collection methods evolving in empirical RE studies?,How do the authors justify the selection and combination of empirical methods and design elements?,0.5846
241,Which data collection method is frequently used in primary RE studies?,How often are which statistical methods used?,0.5844
242,What methods do empirical RE studies use to validate their findings?,Do the authors use (a common set of empirically derived) criteria to characterize the quality of secondary research and thus the overall strength of a body of evidence?,0.5840
243,What are the different contexts in which empirical RE research is applied?,"""What empirical methods are used to conduct integrative and interpretive (systematic literature) reviews, so-called secondary research?""",0.5839
244,What are the criteria for evaluating empirical RE studies?,"""What empirical methods are used to conduct integrative and interpretive (systematic literature) reviews, so-called secondary research?""",0.5836
245,Which research method is frequently used in primary RE studies?,"""How have the proportions of experiments, secondary research (reviews), surveys, case studies, and action research in the empirical methods used evolved over time?""",0.5833
246,How frequent are longitudinal studies in empirical RE research?,"""How have the proportions of experiments, secondary research (reviews), surveys, case studies, and action research in the empirical methods used evolved over time?""",0.5832
247,What types of tools are used in empirical RE studies?,Do the authors use conceptual and operational definitions for key constructs and variables in empirical research in SE and RE?,0.5829
248,How are data collection methods evolving in empirical RE studies?,"""How has the provision of data (the materials used, raw data collected, and study results identified) evolved over time?""",0.5828
249,How significant is the role of case studies in empirical RE research?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.5826
250,What types of tools are used in empirical RE studies?,"""How has the proportions of  empirical methods to conduct (systematic literature) reviews, so-called secondary research, evolved over time?""",0.5825
251,How frequent are the different types of empirical research methods used in RE?,How has the use of (a common set of empirically derived) criteria to assess the quality of individual studies evolved over time?,0.5817
252,How has the publication rate of empirical RE research changed over the years?,How has the use of (a common set of empirically derived) criteria to characterize the quality of secondary research and thus the overall strength of a body of evidence evolved over time?,0.5815
253,How accessible are empirical RE study results to practitioners?,Does the research design allow for efficient reuse of study (results) by other researchers?,0.5815
