,genCQ,expertCQ,cos_score
33,What are the major types of user interfaces in HCI?,How can a user interact in human–computer interactions?,0.5747
34,How does human perception impact the design of interactive systems?,How can a user interact in human–computer interactions?,0.5682
35,How does human perception impact the design of interactive systems?,What is an interactive computer system?,0.5674
36,What are the key components of a human-computer interaction system?,How is a user input processed by an interactive computer system and how is the corresponding output presented to him/her?,0.5652
37,What are the major types of user interfaces in HCI?,What is a complex interactive computer system?,0.5645
38,What human factors influence the design of interactive systems?,"Considering intentionality, how can a user interact with an interactive computer system?",0.5618
39,How do cognitive models apply to human-computer interactions?,"Considering intentionality, how can a user interact with an interactive computer system?",0.5584
40,How do cognitive models apply to human-computer interactions?,What does make up the user interface of an interactive computer system?,0.5557
41,How do cognitive models apply to human-computer interactions?,Why does a user intentionally interact with an interactive computer system?,0.5545
42,How do cognitive models apply to human-computer interactions?,What is a complex interactive computer system?,0.5509
43,How does human perception impact the design of interactive systems?,Why does a user intentionally interact with an interactive computer system?,0.5448
44,How does human perception impact the design of interactive systems?,What is a human–computer interaction?,0.5445
45,How does human perception impact the design of interactive systems?,"Considering intentionality, how can a user interact with an interactive computer system?",0.5425
46,"How do different interaction modalities (e.g., touch, voice) affect user experience?",How can a user interact in human–computer interactions?,0.5373
47,How do users typically interact with computer systems?,What does make up a complex user participation?,0.5372
48,How does human perception impact the design of interactive systems?,What is a complex interactive computer system?,0.5328
49,What human factors influence the design of interactive systems?,How is a user input processed by an interactive computer system?,0.5319
50,How do cognitive models apply to human-computer interactions?,What is an interactive computer system?,0.5293
51,How do cognitive models apply to human-computer interactions?,How is a user input processed by an interactive computer system?,0.5274
52,What are the major types of user interfaces in HCI?,What is an interactive computer system?,0.5260
53,What are the principles of user-centered design in HCI?,What does make up the user interface of an interactive computer system?,0.5223
54,What human factors influence the design of interactive systems?,How is a user input processed by an interactive computer system and how is the corresponding output presented to him/her?,0.5185
55,How does human perception impact the design of interactive systems?,How is a user input processed by an interactive computer system?,0.5177
56,How do cognitive models apply to human-computer interactions?,How is a user input processed by an interactive computer system and how is the corresponding output presented to him/her?,0.5139
57,How is usability defined and measured in the HCI domain?,What is a human–computer interaction?,0.5125
58,What human factors influence the design of interactive systems?,What does make up a complex user participation?,0.5091
59,How does human perception impact the design of interactive systems?,How is a user input processed by an interactive computer system and how is the corresponding output presented to him/her?,0.5087
60,How do cognitive models apply to human-computer interactions?,How does a user evaluate if his/her goal was achieved in a human–computer interaction?,0.5080
61,How does human perception impact the design of interactive systems?,What is an interactive software system?,0.5080
62,What human factors influence the design of interactive systems?,"Considering the human–computer interaction, how can a user participation cause another user participation?",0.5061
63,What are the principles of user-centered design in HCI?,What is a human–computer interaction?,0.5028
64,What are the common challenges in designing interactions for cross-cultural users?,How can a user interact in human–computer interactions?,0.5021
65,What are the principles of user-centered design in HCI?,How can a user interact in human–computer interactions?,0.4993
66,What are the principles of user-centered design in HCI?,What does make up a complex user participation?,0.4990
67,What are the major types of user interfaces in HCI?,What is an interactive software system?,0.4967
68,How do task analysis and user profiling inform HCI design?,How does a user evaluate if his/her goal was achieved in a human–computer interaction?,0.4956
69,How do users typically interact with computer systems?,What is a User?,0.4920
70,What are the key components of a human-computer interaction system?,How does a user evaluate if his/her goal was achieved in a human–computer interaction?,0.4912
71,What human factors influence the design of interactive systems?,How does a user evaluate if his/her goal was achieved in a human–computer interaction?,0.4884
72,What are the principles of user-centered design in HCI?,What is a complex interactive computer system?,0.4856
73,"How do different interaction modalities (e.g., touch, voice) affect user experience?",What does make up the user interface of an interactive computer system?,0.4805
74,What are the common methods for evaluating HCI systems?,What is a complex interactive computer system?,0.4757
75,What are the common challenges in designing interactions for cross-cultural users?,"Considering the human–computer interaction, how can a user participation cause another user participation?",0.4754
76,What are the key components of a human-computer interaction system?,How does a user receive an output from an interactive computer system?,0.4746
77,How does human perception impact the design of interactive systems?,How does a user evaluate if his/her goal was achieved in a human–computer interaction?,0.4746
78,How do cognitive models apply to human-computer interactions?,"Considering the human–computer interaction, how can a user participation cause another user participation?",0.4732
79,How is usability defined and measured in the HCI domain?,How does a user evaluate if his/her goal was achieved in a human–computer interaction?,0.4580
80,What are the key components of a human-computer interaction system?,What does make up a complex user participation?,0.4559
81,What are the common methods for evaluating HCI systems?,How does a user evaluate if his/her goal was achieved in a human–computer interaction?,0.4528
82,How is usability defined and measured in the HCI domain?,What does make up the user interface of an interactive computer system?,0.4528
83,What are the common challenges in designing interactions for cross-cultural users?,What does make up a complex user participation?,0.4520
84,How do task analysis and user profiling inform HCI design?,What is a human–computer interaction?,0.4490
85,How do task analysis and user profiling inform HCI design?,What does make up the user interface of an interactive computer system?,0.4447
86,What are the key components of a human-computer interaction system?,"Considering the human–computer interaction, how can a user participation cause another user participation?",0.4410
87,"How do different interaction modalities (e.g., touch, voice) affect user experience?",What is a human–computer interaction?,0.4408
88,What are the major types of user interfaces in HCI?,Why does a user intentionally interact with an interactive computer system?,0.4400
89,What human factors influence the design of interactive systems?,How does a user receive an output from an interactive computer system?,0.4388
90,How do users typically interact with computer systems?,How does a user evaluate if his/her goal was achieved in a human–computer interaction?,0.4375
91,How is usability defined and measured in the HCI domain?,How can a user interact in human–computer interactions?,0.4353
92,What are the common methods for evaluating HCI systems?,What does make up the user interface of an interactive computer system?,0.4343
93,How do task analysis and user profiling inform HCI design?,How can a user interact in human–computer interactions?,0.4332
94,How do task analysis and user profiling inform HCI design?,What does make up a complex user participation?,0.4332
95,How do cognitive models apply to human-computer interactions?,How does a user receive an output from an interactive computer system?,0.4328
96,What are the major types of user interfaces in HCI?,What does make up a complex user participation?,0.4328
97,What are the principles of user-centered design in HCI?,Why does a user intentionally interact with an interactive computer system?,0.4321
98,How do cognitive models apply to human-computer interactions?,What is an interactive software system?,0.4319
99,What are the common methods for evaluating HCI systems?,What is an interactive computer system?,0.4317
100,What are the principles of user-centered design in HCI?,How does a user evaluate if his/her goal was achieved in a human–computer interaction?,0.4297
101,How do cognitive models apply to human-computer interactions?,What does make up a complex user participation?,0.4285
102,How does human perception impact the design of interactive systems?,"Considering the human–computer interaction, how can a user participation cause another user participation?",0.4284
103,What are the major types of user interfaces in HCI?,"Considering intentionality, how can a user interact with an interactive computer system?",0.4278
104,What are the principles of user-centered design in HCI?,What is an interactive computer system?,0.4268
105,What are the principles of user-centered design in HCI?,"Considering intentionality, how can a user interact with an interactive computer system?",0.4246
106,What are the major types of user interfaces in HCI?,How is a user input processed by an interactive computer system?,0.4227
107,"How do different interaction modalities (e.g., touch, voice) affect user experience?","Considering intentionality, how can a user interact with an interactive computer system?",0.4225
108,"How do different interaction modalities (e.g., touch, voice) affect user experience?",Why does a user intentionally interact with an interactive computer system?,0.4210
109,What are the principles of user-centered design in HCI?,"Considering the human–computer interaction, how can a user participation cause another user participation?",0.4151
110,How is usability defined and measured in the HCI domain?,What is a complex interactive computer system?,0.4135
111,What are the common methods for evaluating HCI systems?,How is a user input processed by an interactive computer system and how is the corresponding output presented to him/her?,0.4114
112,How does human perception impact the design of interactive systems?,How does a user receive an output from an interactive computer system?,0.4088
113,How do task analysis and user profiling inform HCI design?,What is a complex interactive computer system?,0.4070
114,What are the common challenges in designing interactions for cross-cultural users?,Why does a user intentionally interact with an interactive computer system?,0.4037
115,What are the principles of user-centered design in HCI?,What is an interactive software system?,0.4006
116,What are the major types of user interfaces in HCI?,How is a user input processed by an interactive computer system and how is the corresponding output presented to him/her?,0.3996
117,What are the common methods for evaluating HCI systems?,How is a user input processed by an interactive computer system?,0.3973
118,What are the common challenges in designing interactions for cross-cultural users?,"Considering intentionality, how can a user interact with an interactive computer system?",0.3963
119,What are the common methods for evaluating HCI systems?,What is a human–computer interaction?,0.3951
120,What are the common methods for evaluating HCI systems?,What is an interactive software system?,0.3927
121,How do task analysis and user profiling inform HCI design?,How is a user input processed by an interactive computer system and how is the corresponding output presented to him/her?,0.3875
122,What are the common methods for evaluating HCI systems?,How does a user receive an output from an interactive computer system?,0.3834
123,"How do different interaction modalities (e.g., touch, voice) affect user experience?","Considering the human–computer interaction, how can a user participation cause another user participation?",0.3823
124,What are the common methods for evaluating HCI systems?,How can a user interact in human–computer interactions?,0.3818
125,What roles do feedback and feedforward play in HCI?,What is a complex interactive computer system?,0.3790
126,How do task analysis and user profiling inform HCI design?,Why does a user intentionally interact with an interactive computer system?,0.3783
127,How is usability defined and measured in the HCI domain?,What is an interactive computer system?,0.3757
128,What are the best practices for accessibility in HCI?,How can a user interact in human–computer interactions?,0.3757
129,How does human perception impact the design of interactive systems?,What does make up a complex user participation?,0.3739
130,How is usability defined and measured in the HCI domain?,What does make up a complex user participation?,0.3726
131,"How do different interaction modalities (e.g., touch, voice) affect user experience?",How is a user input processed by an interactive computer system?,0.3722
132,How do task analysis and user profiling inform HCI design?,"Considering the human–computer interaction, how can a user participation cause another user participation?",0.3706
133,What roles do feedback and feedforward play in HCI?,What does make up the user interface of an interactive computer system?,0.3698
134,How do task analysis and user profiling inform HCI design?,How is a user input processed by an interactive computer system?,0.3698
135,"How do different interaction modalities (e.g., touch, voice) affect user experience?",What is a complex interactive computer system?,0.3692
136,What roles do feedback and feedforward play in HCI?,How is a user input processed by an interactive computer system and how is the corresponding output presented to him/her?,0.3676
137,How do task analysis and user profiling inform HCI design?,What is an interactive computer system?,0.3646
138,"How do different interaction modalities (e.g., touch, voice) affect user experience?",What is an interactive computer system?,0.3620
139,What are the common challenges in designing interactions for cross-cultural users?,What is a human–computer interaction?,0.3606
140,"How do different interaction modalities (e.g., touch, voice) affect user experience?",How is a user input processed by an interactive computer system and how is the corresponding output presented to him/her?,0.3602
141,How is usability defined and measured in the HCI domain?,How is a user input processed by an interactive computer system and how is the corresponding output presented to him/her?,0.3586
142,What are the major types of user interfaces in HCI?,How does a user receive an output from an interactive computer system?,0.3571
143,What are the common challenges in designing interactions for cross-cultural users?,What does make up the user interface of an interactive computer system?,0.3559
144,What roles do feedback and feedforward play in HCI?,How does a user receive an output from an interactive computer system?,0.3547
145,How is usability defined and measured in the HCI domain?,What is an interactive software system?,0.3527
146,What roles do feedback and feedforward play in HCI?,What is an interactive computer system?,0.3488
147,How do task analysis and user profiling inform HCI design?,What is an interactive software system?,0.3482
148,What are the principles of user-centered design in HCI?,How is a user input processed by an interactive computer system and how is the corresponding output presented to him/her?,0.3468
149,What roles do feedback and feedforward play in HCI?,How is a user input processed by an interactive computer system?,0.3453
150,"How do emerging technologies (e.g., AR, VR) influence HCI principles?",What is a human–computer interaction?,0.3451
151,How do task analysis and user profiling inform HCI design?,"Considering intentionality, how can a user interact with an interactive computer system?",0.3441
152,What are the major types of user interfaces in HCI?,"Considering the human–computer interaction, how can a user participation cause another user participation?",0.3424
153,"How do different interaction modalities (e.g., touch, voice) affect user experience?",What does make up a complex user participation?,0.3414
154,What are the principles of user-centered design in HCI?,How is a user input processed by an interactive computer system?,0.3412
155,What roles do feedback and feedforward play in HCI?,What is a human–computer interaction?,0.3390
156,What are the common methods for evaluating HCI systems?,"Considering intentionality, how can a user interact with an interactive computer system?",0.3328
157,How is usability defined and measured in the HCI domain?,How is a user input processed by an interactive computer system?,0.3309
158,"How do different interaction modalities (e.g., touch, voice) affect user experience?",What is an interactive software system?,0.3306
159,What roles do feedback and feedforward play in HCI?,What does make up a complex user participation?,0.3297
160,"How do different interaction modalities (e.g., touch, voice) affect user experience?",How does a user evaluate if his/her goal was achieved in a human–computer interaction?,0.3292
161,What are the best practices for accessibility in HCI?,What does make up the user interface of an interactive computer system?,0.3287
162,How is usability defined and measured in the HCI domain?,Why does a user intentionally interact with an interactive computer system?,0.3271
163,What roles do feedback and feedforward play in HCI?,How can a user interact in human–computer interactions?,0.3256
164,How is usability defined and measured in the HCI domain?,"Considering intentionality, how can a user interact with an interactive computer system?",0.3176
165,How do task analysis and user profiling inform HCI design?,How does a user receive an output from an interactive computer system?,0.3149
166,What are the principles of user-centered design in HCI?,How does a user receive an output from an interactive computer system?,0.3137
167,What roles do feedback and feedforward play in HCI?,How does a user evaluate if his/her goal was achieved in a human–computer interaction?,0.3132
168,How is usability defined and measured in the HCI domain?,"Considering the human–computer interaction, how can a user participation cause another user participation?",0.3085
169,What roles do feedback and feedforward play in HCI?,What is an interactive software system?,0.3073
170,What are the best practices for accessibility in HCI?,"Considering intentionality, how can a user interact with an interactive computer system?",0.3061
171,What are the common methods for evaluating HCI systems?,Why does a user intentionally interact with an interactive computer system?,0.3060
172,What roles do feedback and feedforward play in HCI?,Why does a user intentionally interact with an interactive computer system?,0.3055
173,What are the principles of user-centered design in HCI?,What is a User?,0.3026
174,"How do emerging technologies (e.g., AR, VR) influence HCI principles?",How can a user interact in human–computer interactions?,0.2985
175,What are the best practices for accessibility in HCI?,What is a human–computer interaction?,0.2962
176,What human factors influence the design of interactive systems?,What is a User?,0.2954
177,How is usability defined and measured in the HCI domain?,How does a user receive an output from an interactive computer system?,0.2935
178,What are the major types of user interfaces in HCI?,What is a User?,0.2921
179,"How do emerging technologies (e.g., AR, VR) influence HCI principles?",What is a complex interactive computer system?,0.2912
180,"How do emerging technologies (e.g., AR, VR) influence HCI principles?",What does make up the user interface of an interactive computer system?,0.2893
181,What are the common challenges in designing interactions for cross-cultural users?,What is a complex interactive computer system?,0.2889
182,What are the major types of user interfaces in HCI?,How does a user evaluate if his/her goal was achieved in a human–computer interaction?,0.2876
183,What are the common challenges in designing interactions for cross-cultural users?,What is an interactive computer system?,0.2858
184,What are the common challenges in designing interactions for cross-cultural users?,How does a user evaluate if his/her goal was achieved in a human–computer interaction?,0.2851
185,How do task analysis and user profiling inform HCI design?,What is a User?,0.2774
186,What roles do feedback and feedforward play in HCI?,"Considering the human–computer interaction, how can a user participation cause another user participation?",0.2774
187,"How do emerging technologies (e.g., AR, VR) influence HCI principles?",What does make up a complex user participation?,0.2752
188,What roles do feedback and feedforward play in HCI?,"Considering intentionality, how can a user interact with an interactive computer system?",0.2748
189,"How do emerging technologies (e.g., AR, VR) influence HCI principles?",How does a user evaluate if his/her goal was achieved in a human–computer interaction?,0.2720
190,What are the key components of a human-computer interaction system?,What is a User?,0.2719
191,What are the common challenges in designing interactions for cross-cultural users?,What is an interactive software system?,0.2709
192,What are the best practices for accessibility in HCI?,Why does a user intentionally interact with an interactive computer system?,0.2657
193,What are the best practices for accessibility in HCI?,How is a user input processed by an interactive computer system?,0.2649
194,What are the common methods for evaluating HCI systems?,What does make up a complex user participation?,0.2646
195,What are the best practices for accessibility in HCI?,What is an interactive computer system?,0.2609
196,"How do different interaction modalities (e.g., touch, voice) affect user experience?",How does a user receive an output from an interactive computer system?,0.2574
197,What are the common challenges in designing interactions for cross-cultural users?,What is a User?,0.2539
198,How do cognitive models apply to human-computer interactions?,What is a User?,0.2513
199,"How do emerging technologies (e.g., AR, VR) influence HCI principles?",Why does a user intentionally interact with an interactive computer system?,0.2470
200,What are the best practices for accessibility in HCI?,What is a complex interactive computer system?,0.2442
201,"How do emerging technologies (e.g., AR, VR) influence HCI principles?","Considering the human–computer interaction, how can a user participation cause another user participation?",0.2429
202,What are the best practices for accessibility in HCI?,"Considering the human–computer interaction, how can a user participation cause another user participation?",0.2421
203,What are the best practices for accessibility in HCI?,What is an interactive software system?,0.2374
204,"How do emerging technologies (e.g., AR, VR) influence HCI principles?",What is an interactive computer system?,0.2360
205,How is usability defined and measured in the HCI domain?,What is a User?,0.2283
206,What are the best practices for accessibility in HCI?,How is a user input processed by an interactive computer system and how is the corresponding output presented to him/her?,0.2277
207,What are the common challenges in designing interactions for cross-cultural users?,How is a user input processed by an interactive computer system?,0.2141
208,What are the best practices for accessibility in HCI?,What does make up a complex user participation?,0.2089
209,"How do emerging technologies (e.g., AR, VR) influence HCI principles?",What is an interactive software system?,0.2007
210,What are the common challenges in designing interactions for cross-cultural users?,How is a user input processed by an interactive computer system and how is the corresponding output presented to him/her?,0.1964
211,What are the best practices for accessibility in HCI?,How does a user evaluate if his/her goal was achieved in a human–computer interaction?,0.1884
212,"How do emerging technologies (e.g., AR, VR) influence HCI principles?","Considering intentionality, how can a user interact with an interactive computer system?",0.1883
213,What are the best practices for accessibility in HCI?,How does a user receive an output from an interactive computer system?,0.1861
214,What are the common methods for evaluating HCI systems?,"Considering the human–computer interaction, how can a user participation cause another user participation?",0.1828
215,How does human perception impact the design of interactive systems?,What is a User?,0.1783
216,What are the common challenges in designing interactions for cross-cultural users?,How does a user receive an output from an interactive computer system?,0.1779
217,"How do emerging technologies (e.g., AR, VR) influence HCI principles?",How is a user input processed by an interactive computer system and how is the corresponding output presented to him/her?,0.1693
218,"How do emerging technologies (e.g., AR, VR) influence HCI principles?",How is a user input processed by an interactive computer system?,0.1649
219,"How do different interaction modalities (e.g., touch, voice) affect user experience?",What is a User?,0.1514
220,"How do emerging technologies (e.g., AR, VR) influence HCI principles?",How does a user receive an output from an interactive computer system?,0.1024
221,What are the best practices for accessibility in HCI?,What is a User?,0.0943
222,What roles do feedback and feedforward play in HCI?,What is a User?,0.0882
223,What are the common methods for evaluating HCI systems?,What is a User?,0.0847
224,"How do emerging technologies (e.g., AR, VR) influence HCI principles?",What is a User?,0.0740
