,genCQ,expertCQ,cos_score
73,What are the main trends in empirical SE research over the past decades?,"""How have the proportions of experiments, secondary research (reviews), surveys, case studies, and action research in the empirical methods used evolved over time?""",0.6460
74,What are the most common empirical research methods used in SE?,"""How has the proportions of  empirical methods to conduct (systematic literature) reviews, so-called secondary research, evolved over time?""",0.6454
75,How should SE researchers approach the replication of empirical studies?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.6454
76,What are the benefits and limitations of case studies in SE research?,How have the proportions of case studies and action research in the empirical methods used evolved over time?,0.6439
77,What guidelines exist for conducting empirical studies in SE?,What are the conceptual and operational definitions used for key constructs and variables in empirical research in SE and RE?,0.6438
78,How can empirical SE studies be made more cost-effective?,How has the proportion of empirical studies evolved over time?,0.6434
79,What criteria should be used to assess the quality and relevance of empirical SE studies?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.6432
80,What role does the synthesis of empirical evidence play in SE research?,How have the proportions of case studies and action research in the empirical methods used evolved over time?,0.6422
81,What are the key elements of a high-quality empirical SE study?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.6420
82,How can SE researchers develop common taxonomies for empirical studies?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.6410
83,How should SE researchers handle the scalability of empirical studies?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.6393
84,How do different empirical methods complement each other in SE studies?,"""How has the proportions of  empirical methods to conduct (systematic literature) reviews, so-called secondary research, evolved over time?""",0.6388
85,What steps are needed to increase the use of empirical methods in SE research?,"""How has the proportions of  empirical methods to conduct (systematic literature) reviews, so-called secondary research, evolved over time?""",0.6383
86,How can empirical evidence be synthesized to support SE research?,"""How has the proportions of  empirical methods to conduct (systematic literature) reviews, so-called secondary research, evolved over time?""",0.6372
87,How should SE researchers approach the replication of empirical studies?,"""How has the proportions of  empirical methods to conduct (systematic literature) reviews, so-called secondary research, evolved over time?""",0.6371
88,What steps are needed to increase the use of empirical methods in SE research?,How have the proportions of case studies and action research in the empirical methods used evolved over time?,0.6362
89,What are the common threats to the validity of empirical SE studies?,What types of threats to validity do the authors report?,0.6359
90,"What empirical methods are most relevant to SE research, and how are they used?","""How have the proportions of experiments, secondary research (reviews), surveys, case studies, and action research in the empirical methods used evolved over time?""",0.6356
91,How should empirical SE studies define their scope of validity?,What are the conceptual and operational definitions used for key constructs and variables in empirical research in SE and RE?,0.6351
92,What are the best practices for conducting systematic literature reviews in SE?,"""How up-to-date (and relevant) are reported (systematic) reviews, so-called secondary research?""",0.6348
93,"How can empirical SE research address complex, multi-faceted research questions?",Which sub-fields of SE and RE do the empirical studies cover over time?,0.6347
94,How can empirical SE studies be made more cost-effective?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.6345
95,How can empirical evidence be synthesized to support SE research?,How has the use of (a common set of empirically derived) criteria to characterize the quality of secondary research and thus the overall strength of a body of evidence evolved over time?,0.6326
96,How should empirical SE studies define their scope of validity?,Do the authors use (a common set of empirically derived) criteria to assess the quality of individual studies?,0.6318
97,How do different empirical methods complement each other in SE studies?,How have the proportions of case studies and action research in the empirical methods used evolved over time?,0.6308
98,How should empirical SE studies define their scope of validity?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.6286
99,What steps are needed to increase the use of empirical methods in SE research?,"""How have the proportions of experiments, secondary research (reviews), surveys, case studies, and action research in the empirical methods used evolved over time?""",0.6279
100,How can empirical evidence be synthesized to support SE research?,How has the proportion of empirical studies evolved over time?,0.6269
101,How should SE studies handle the generalization of their findings?,Do the authors report the selected context of their study with specific characteristics?,0.6266
102,What role do students and inexperienced subjects play in empirical SE studies?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.6262
103,"What empirical methods are most relevant to SE research, and how are they used?",How have the proportions of case studies and action research in the empirical methods used evolved over time?,0.6261
104,How should SE studies handle the generalization of their findings?,Do the authors use (a common set of empirically derived) criteria to assess the quality of individual studies?,0.6259
105,What steps are needed to increase the use of empirical methods in SE research?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.6254
106,"What are Level 2 theories in SE, and how can they be developed?",How many theories from the SE and RE are there?,0.6252
107,"What is the current state of empirical SE research, and what is the vision for its future?",What are the conceptual and operational definitions used for key constructs and variables in empirical research in SE and RE?,0.6250
108,How can empirical SE research contribute to the development of new SE technologies?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.6240
109,What guidelines exist for conducting empirical studies in SE?,"""What empirical methods are used to conduct integrative and interpretive (systematic literature) reviews, so-called secondary research?""",0.6236
110,How can SE researchers develop common taxonomies for empirical studies?,Do the authors use a well defined taxonomy for their research design?,0.6234
111,How can empirical evidence be synthesized to support SE research?,How do the authors justify the selection and combination of empirical methods and design elements?,0.6234
112,How should SE researchers approach the replication of empirical studies?,"""How have the proportions of experiments, secondary research (reviews), surveys, case studies, and action research in the empirical methods used evolved over time?""",0.6232
113,What methods can be used to triangulate data in empirical SE research?,How has the use of triangulation for research design evolved over time?,0.6229
114,How can empirical evidence be synthesized to support SE research?,How have the proportions of case studies and action research in the empirical methods used evolved over time?,0.6221
115,What role do systematic reviews and meta-analyses play in SE research?,Have the authors done a systematic review of related work?,0.6212
116,"What empirical methods are most relevant to SE research, and how are they used?","""What empirical methods are used to conduct integrative and interpretive (systematic literature) reviews, so-called secondary research?""",0.6210
117,How do different empirical methods complement each other in SE studies?,What are the conceptual and operational definitions used for key constructs and variables in empirical research in SE and RE?,0.6209
118,"What are the potential biases in empirical SE studies, and how can they be mitigated?",How has the proportion of empirical studies evolved over time?,0.6199
119,What are the barriers to wider adoption of empirical methods in SE by the software industry?,How do the authors justify the selection and combination of empirical methods and design elements?,0.6198
120,What role does the synthesis of empirical evidence play in SE research?,Do the authors use (a common set of empirically derived) criteria to characterize the quality of secondary research and thus the overall strength of a body of evidence?,0.6193
121,How should SE researchers handle the scalability of empirical studies?,How has the proportion of empirical studies evolved over time?,0.6192
122,What steps are needed to increase the use of empirical methods in SE research?,"""What empirical methods are used to conduct integrative and interpretive (systematic literature) reviews, so-called secondary research?""",0.6183
123,What are the main trends in empirical SE research over the past decades?,How has the number of empirical methods used per publication evolved over time?,0.6183
124,How should empirical SE studies define their scope of validity?,Do the authors use conceptual and operational definitions for key constructs and variables in empirical research in SE and RE?,0.6180
125,What are the criteria for selecting industries or projects for empirical SE studies?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.6177
126,What are the most common empirical research methods used in SE?,How has the proportion of empirical studies evolved over time?,0.6174
127,How can SE researchers ensure the validity and reliability of their empirical studies?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.6167
128,What criteria should be used to assess the quality and relevance of empirical SE studies?,What are the conceptual and operational definitions used for key constructs and variables in empirical research in SE and RE?,0.6163
129,How can the quality of empirical studies in SE be improved?,How has the proportion of empirical studies evolved over time?,0.6159
130,What are the common threats to the validity of empirical SE studies?,How has the proportion of empirical studies evolved over time?,0.6159
131,How can empirical SE research address long-term and short-term goals?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.6158
132,How can empirical methods be used to develop scientific knowledge about software engineering (SE) technologies?,How many empirical studies are by authors working for large software development companies?,0.6143
133,"What empirical methods are most relevant to SE research, and how are they used?","""How has the proportions of  empirical methods to conduct (systematic literature) reviews, so-called secondary research, evolved over time?""",0.6141
134,How can SE researchers ensure the validity and reliability of their empirical studies?,"""How has the proportions of  empirical methods to conduct (systematic literature) reviews, so-called secondary research, evolved over time?""",0.6141
135,How should SE studies handle the generalization of their findings?,How has the use of (a common set of empirically derived) criteria to assess the quality of individual studies evolved over time?,0.6132
136,How do different empirical methods complement each other in SE studies?,How has the proportion of empirical studies evolved over time?,0.6127
137,What steps are needed to increase the use of empirical methods in SE research?,Do the authors use conceptual and operational definitions for key constructs and variables in empirical research in SE and RE?,0.6126
138,What criteria should be used to assess the quality and relevance of empirical SE studies?,Do the authors use (a common set of empirically derived) criteria to characterize the quality of secondary research and thus the overall strength of a body of evidence?,0.6121
139,"What empirical methods can be used to explore, describe, predict, and explain SE phenomena?",Which sub-fields of SE and RE do the empirical studies cover over time?,0.6118
140,What methods can be used to triangulate data in empirical SE research?,Which methods are used to synthesize evidence from data of different empirical methods?,0.6113
141,How can the quality of empirical studies in SE be improved?,"""How has the proportions of  empirical methods to conduct (systematic literature) reviews, so-called secondary research, evolved over time?""",0.6111
142,What role does the synthesis of empirical evidence play in SE research?,How do the authors justify the selection and combination of empirical methods and design elements?,0.6109
143,What are the most common empirical research methods used in SE?,What are the conceptual and operational definitions used for key constructs and variables in empirical research in SE and RE?,0.6109
144,How should SE researchers handle the scalability of empirical studies?,How has the number of empirical methods used per publication evolved over time?,0.6107
145,How should SE researchers approach the replication of empirical studies?,How has the proportion of empirical studies evolved over time?,0.6106
146,What are the barriers to wider adoption of empirical methods in SE by the software industry?,How many empirical studies are by authors working for large software development companies?,0.6103
147,How can SE researchers develop common taxonomies for empirical studies?,How has the number of empirical methods used per publication evolved over time?,0.6099
148,What are the key elements of a high-quality empirical SE study?,What are the conceptual and operational definitions used for key constructs and variables in empirical research in SE and RE?,0.6084
149,How can SE researchers develop common taxonomies for empirical studies?,How has the proportion of empirical studies evolved over time?,0.6077
150,How do different empirical methods complement each other in SE studies?,Do the authors use (a common set of empirically derived) criteria to assess the quality of individual studies?,0.6077
151,How do different empirical methods complement each other in SE studies?,"""What empirical methods are used to conduct integrative and interpretive (systematic literature) reviews, so-called secondary research?""",0.6070
152,How can SE researchers ensure the validity and reliability of their empirical studies?,Do the authors use (a common set of empirically derived) criteria to characterize the quality of secondary research and thus the overall strength of a body of evidence?,0.6067
153,How can theories in SE be systematically reviewed and documented?,How many theories from the SE and RE are there?,0.6063
154,How can theories in SE be systematically reviewed and documented?,Do the authors refer to a reference (website or systematic review) that systematizes and characterizes the theory incorporated?,0.6056
155,What guidelines exist for conducting empirical studies in SE?,How often are which empirical methods used?,0.6052
156,What are the main trends in empirical SE research over the past decades?,How have the proportions of case studies and action research in the empirical methods used evolved over time?,0.6051
157,How can theories in SE be systematically reviewed and documented?,How has the incorporation of theories in studies evolved over time?,0.6045
158,How can empirical SE research contribute to the development of new SE technologies?,What are the conceptual and operational definitions used for key constructs and variables in empirical research in SE and RE?,0.6040
159,How can SE researchers ensure the validity and reliability of their empirical studies?,How has the use of (a common set of empirically derived) criteria to characterize the quality of secondary research and thus the overall strength of a body of evidence evolved over time?,0.6032
160,How can action research contribute to empirical SE studies?,"""How have the proportions of experiments, secondary research (reviews), surveys, case studies, and action research in the empirical methods used evolved over time?""",0.6018
161,How should empirical SE studies define their scope of validity?,How has the use of (a common set of empirically derived) criteria to assess the quality of individual studies evolved over time?,0.6009
162,What resources are needed to support high-quality empirical SE research?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.6007
163,How do different empirical methods complement each other in SE studies?,How has the use of (a common set of empirically derived) criteria to assess the quality of individual studies evolved over time?,0.6007
164,How can empirical methods be used to develop scientific knowledge about software engineering (SE) technologies?,How do the authors justify the selection and combination of empirical methods and design elements?,0.6002
165,"What empirical methods are most relevant to SE research, and how are they used?",How often are which statistical methods used?,0.5999
166,"What is the current state of empirical SE research, and what is the vision for its future?",Do the authors use conceptual and operational definitions for key constructs and variables in empirical research in SE and RE?,0.5998
167,What are the key elements of a high-quality empirical SE study?,Do the authors use (a common set of empirically derived) criteria to assess the quality of individual studies?,0.5994
168,What guidelines exist for conducting empirical studies in SE?,Do the authors use conceptual and operational definitions for key constructs and variables in empirical research in SE and RE?,0.5990
169,What are the main trends in empirical SE research over the past decades?,How has the proportion of papers that do not have an empirical study evolved over time?,0.5989
170,How can the integration of empirical methods in SE education be improved?,How do the authors justify the selection and combination of empirical methods and design elements?,0.5989
171,"What is the current state of empirical SE research, and what is the vision for its future?",How has the proportion of empirical studies evolved over time?,0.5986
172,How can empirical methods be used to develop scientific knowledge about software engineering (SE) technologies?,What are the conceptual and operational definitions used for key constructs and variables in empirical research in SE and RE?,0.5983
173,How can theories in SE be systematically reviewed and documented?,How has the use of theories for a diverse and reflective generalization of study results evolved over time?,0.5971
174,How can empirical evidence be synthesized to support SE research?,Do the authors use (a common set of empirically derived) criteria to characterize the quality of secondary research and thus the overall strength of a body of evidence?,0.5966
175,What are the best practices for reporting empirical SE studies?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.5962
176,How do different empirical methods complement each other in SE studies?,"""How have the proportions of experiments, secondary research (reviews), surveys, case studies, and action research in the empirical methods used evolved over time?""",0.5960
177,What are the barriers to wider adoption of empirical methods in SE by the software industry?,How has the number of empirical methods used per publication evolved over time?,0.5959
178,How should SE researchers approach the replication of empirical studies?,How has the number of empirical methods used per publication evolved over time?,0.5955
179,What role do students and inexperienced subjects play in empirical SE studies?,What are the conceptual and operational definitions used for key constructs and variables in empirical research in SE and RE?,0.5954
180,How can empirical methods be used to develop scientific knowledge about software engineering (SE) technologies?,How often are which empirical methods used?,0.5949
181,"What empirical methods are most relevant to SE research, and how are they used?",How has the proportion of empirical studies evolved over time?,0.5947
182,How do different empirical methods complement each other in SE studies?,Do the authors use conceptual and operational definitions for key constructs and variables in empirical research in SE and RE?,0.5937
183,What criteria should be used to assess the quality and relevance of empirical SE studies?,How has the use of (a common set of empirically derived) criteria to characterize the quality of secondary research and thus the overall strength of a body of evidence evolved over time?,0.5936
184,What are the main trends in empirical SE research over the past decades?,How has the reporting of research questions and answers evolved over time?,0.5928
185,What guidelines exist for conducting empirical studies in SE?,"""How has the proportions of  empirical methods to conduct (systematic literature) reviews, so-called secondary research, evolved over time?""",0.5926
186,How should SE researchers handle conflicting evidence from empirical studies?,Which methods are used to synthesize evidence from data of different empirical methods?,0.5918
187,"What empirical methods are most relevant to SE research, and how are they used?",Do the authors use conceptual and operational definitions for key constructs and variables in empirical research in SE and RE?,0.5917
188,"What empirical methods can be used to explore, describe, predict, and explain SE phenomena?",How often are which empirical methods used?,0.5909
189,What guidelines exist for conducting empirical studies in SE?,How many empirical studies are by authors working for large software development companies?,0.5908
190,How can SE researchers develop common taxonomies for empirical studies?,"""How has the proportions of  empirical methods to conduct (systematic literature) reviews, so-called secondary research, evolved over time?""",0.5908
191,What are the key elements of a high-quality empirical SE study?,How do the authors justify the selection and combination of empirical methods and design elements?,0.5901
192,How can SE researchers ensure the validity and reliability of their empirical studies?,"""What empirical methods are used to conduct integrative and interpretive (systematic literature) reviews, so-called secondary research?""",0.5901
193,What guidelines exist for conducting empirical studies in SE?,Do the authors use (a common set of empirically derived) criteria to assess the quality of individual studies?,0.5890
194,What role do students and inexperienced subjects play in empirical SE studies?,Do the authors use conceptual and operational definitions for key constructs and variables in empirical research in SE and RE?,0.5878
195,How should SE researchers approach the replication of empirical studies?,How have the proportions of case studies and action research in the empirical methods used evolved over time?,0.5873
196,"What are Level 2 theories in SE, and how can they be developed?",What is the proportion of each of the three levels of sophistication for theories from SE and RE?,0.5868
197,What are the key components of the scientific method as applied to SE research?,"""How have the proportions of experiments, secondary research (reviews), surveys, case studies, and action research in the empirical methods used evolved over time?""",0.5857
198,What guidelines exist for conducting empirical studies in SE?,"""How have the proportions of experiments, secondary research (reviews), surveys, case studies, and action research in the empirical methods used evolved over time?""",0.5856
199,How should SE researchers approach the replication of empirical studies?,Which methods are used to synthesize evidence from data of different empirical methods?,0.5852
200,How can the quality of empirical studies in SE be improved?,How has the use of (a common set of empirically derived) criteria to characterize the quality of secondary research and thus the overall strength of a body of evidence evolved over time?,0.5848
201,How can empirical SE research contribute to public policy and regulatory decisions?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.5846
202,What are the benefits of conducting empirical studies in industrial settings?,How has the proportion of empirical studies evolved over time?,0.5842
203,How should empirical methods be integrated into SE education programs?,How often are which empirical methods used?,0.5839
204,How can SE researchers develop common taxonomies for empirical studies?,Which methods are used to synthesize evidence from data of different empirical methods?,0.5832
205,How can empirical methods be used to develop scientific knowledge about software engineering (SE) technologies?,Which methods are used to synthesize evidence from data of different empirical methods?,0.5832
206,How can empirical SE research better support the development of sustainable software systems?,How many empirical studies are by authors working for large software development companies?,0.5827
207,How can empirical SE studies be made more cost-effective?,How has the number of empirical methods used per publication evolved over time?,0.5825
208,"What is the current state of empirical SE research, and what is the vision for its future?","""How have the proportions of experiments, secondary research (reviews), surveys, case studies, and action research in the empirical methods used evolved over time?""",0.5822
209,What are the main trends in empirical SE research over the past decades?,"""How has the proportions of  empirical methods to conduct (systematic literature) reviews, so-called secondary research, evolved over time?""",0.5821
210,What are the most common empirical research methods used in SE?,How many empirical studies are by authors working for large software development companies?,0.5816
211,How can the integration of empirical methods in SE education be improved?,How often are which empirical methods used?,0.5816
212,How can SE researchers develop common taxonomies for empirical studies?,"""How have the proportions of experiments, secondary research (reviews), surveys, case studies, and action research in the empirical methods used evolved over time?""",0.5816
213,What guidelines exist for conducting empirical studies in SE?,How has the use of (a common set of empirically derived) criteria to assess the quality of individual studies evolved over time?,0.5813
214,How can the SE research community increase its competence in empirical methods?,How do the authors justify the selection and combination of empirical methods and design elements?,0.5810
215,"What empirical methods can be used to explore, describe, predict, and explain SE phenomena?",Which methods are used to synthesize evidence from data of different empirical methods?,0.5808
216,What are the main trends in empirical SE research over the past decades?,How often are which empirical methods used over time?,0.5808
217,How can SE researchers develop common taxonomies for empirical studies?,What are the conceptual and operational definitions used for key constructs and variables in empirical research in SE and RE?,0.5807
218,How can empirical SE research better inform SE education and training programs?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.5803
219,How can empirical SE research contribute to the development of new SE technologies?,Do the authors use conceptual and operational definitions for key constructs and variables in empirical research in SE and RE?,0.5802
220,How can theories in SE be systematically reviewed and documented?,How often are standards used to describe the theories incorporated?,0.5795
221,What role does the synthesis of empirical evidence play in SE research?,What are the conceptual and operational definitions used for key constructs and variables in empirical research in SE and RE?,0.5792
222,What are the barriers to wider adoption of empirical methods in SE by the software industry?,How have the proportions of case studies and action research in the empirical methods used evolved over time?,0.5789
223,"What empirical methods are most relevant to SE research, and how are they used?",How has the use of (a common set of empirically derived) criteria to assess the quality of individual studies evolved over time?,0.5788
224,How can the SE community promote the publication of high-quality empirical studies?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.5786
225,How can theories in SE be systematically reviewed and documented?,How many studies incorporate theories?,0.5786
226,How can the quality of empirical studies in SE be improved?,"""How have the proportions of experiments, secondary research (reviews), surveys, case studies, and action research in the empirical methods used evolved over time?""",0.5786
227,What are the common threats to the validity of empirical SE studies?,Do the authors use (a common set of empirically derived) criteria to assess the quality of individual studies?,0.5785
228,How can empirical evidence be synthesized to support SE research?,How has the use of (a common set of empirically derived) criteria to assess the quality of individual studies evolved over time?,0.5784
229,How can empirical methods be used to develop scientific knowledge about software engineering (SE) technologies?,How has the number of empirical methods used per publication evolved over time?,0.5784
230,How can SE researchers ensure the validity and reliability of their empirical studies?,How do the authors justify the selection and combination of empirical methods and design elements?,0.5781
231,How can the SE community promote the publication of high-quality empirical studies?,"""How has the proportions of  empirical methods to conduct (systematic literature) reviews, so-called secondary research, evolved over time?""",0.5774
232,How should empirical methods be integrated into SE education programs?,What are the conceptual and operational definitions used for key constructs and variables in empirical research in SE and RE?,0.5769
233,How can SE researchers develop common taxonomies for empirical studies?,How many different empirical methods are used per publication?,0.5763
234,What are the common threats to the validity of empirical SE studies?,What are the conceptual and operational definitions used for key constructs and variables in empirical research in SE and RE?,0.5760
235,What criteria should be used to assess the quality and relevance of empirical SE studies?,Do the authors use conceptual and operational definitions for key constructs and variables in empirical research in SE and RE?,0.5758
236,How can empirical SE studies be made more cost-effective?,How have the proportions of case studies and action research in the empirical methods used evolved over time?,0.5757
